n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;670;13.4;29;4;0.5658757917093954;0.48855741724560686;2.424040404040404;3.5515951982926577;10;76;0;0.05;0.0;2
100;877;17.54;38;4;0.595058002883587;0.5176976693530821;2.180808080808081;9.471350677392206;27;25;1;0.05;0.0;2
100;869;17.38;33;6;0.6002628736867001;0.525691699604743;2.207272727272727;6.253393047156798;20;42;2;0.05;0.0;2
100;655;13.1;24;3;0.5562466626155882;0.5009570994257403;2.505858585858586;3.900073671512018;10;79;3;0.05;0.0;2
100;634;12.68;30;4;0.5653692590076124;0.5078284547311096;2.5167676767676768;7.544644995584607;19;12;4;0.05;0.0;2
100;789;15.78;36;5;0.5989819154349539;0.5145589798087141;2.263838383838384;5.6527834946946935;19;35;5;0.05;0.0;2
100;762;15.24;33;4;0.5988552352111515;0.5021373820754716;2.292929292929293;5.961014130611866;21;24;6;0.05;0.0;2
100;719;14.38;30;3;0.5854592634691618;0.4958490566037736;2.3076767676767678;3.2789641741457007;11;64;7;0.05;0.0;2
100;681;13.62;33;2;0.55044387601748;0.5043371676409579;2.4226262626262627;3.117178747266084;9;80;8;0.05;0.0;2
100;748;14.96;31;4;0.5833054261580124;0.502703992365198;2.327676767676768;6.293017997434268;19;31;9;0.05;0.0;2
100;673;13.46;30;4;0.5655387675910457;0.48779993925280957;2.417979797979798;3.5229715824148737;10;76;0;0.05;0.01;2
100;884;17.68;38;4;0.597230544947737;0.5198868186428914;2.1745454545454543;2.709139560848663;10;84;1;0.05;0.01;2
100;880;17.6;33;6;0.6015313641647427;0.5247945923897209;2.192727272727273;6.645943073614627;21;38;2;0.05;0.01;2
100;660;13.2;24;3;0.5579439248476801;0.5013853485536961;2.4973737373737372;3.836162253996307;10;79;3;0.05;0.01;2
100;634;12.68;30;4;0.5653692590076124;0.5078284547311096;2.5167676767676768;7.544644995584607;19;12;4;0.05;0.01;2
100;797;15.94;36;5;0.6005306406611769;0.5154230929553981;2.2507070707070707;5.487776231002672;19;35;5;0.05;0.01;2
100;766;15.32;33;4;0.5991498683628123;0.5013077593722755;2.287272727272727;5.705307943949331;21;24;6;0.05;0.01;2
100;729;14.58;31;3;0.5891423164646059;0.4980043984686813;2.2955555555555556;3.2803108058441937;11;66;7;0.05;0.01;2
100;689;13.78;33;2;0.5504802901427994;0.503869541182974;2.411111111111111;3.059057492544838;9;80;8;0.05;0.01;2
100;756;15.12;31;4;0.5861142324615435;0.5027152831652444;2.313939393939394;5.94426966225158;19;31;9;0.05;0.01;2
100;679;13.58;30;4;0.5668640944844303;0.48738828202581924;2.4052525252525254;3.496974142081677;10;77;0;0.05;0.02;2
100;892;17.84;38;4;0.5992995433118486;0.5224146048020086;2.1684848484848485;2.6835208085237614;10;84;1;0.05;0.02;2
100;886;17.72;33;6;0.6052306512996088;0.5263006776157115;2.186868686868687;6.437585139214086;21;38;2;0.05;0.02;2
100;668;13.36;25;3;0.5593089402782496;0.5024248302618817;2.4763636363636365;3.7867065377540565;10;80;3;0.05;0.02;2
100;636;12.72;31;4;0.5667080570289148;0.507988298829883;2.510707070707071;7.280086534893955;19;12;4;0.05;0.02;2
100;802;16.04;36;5;0.6029521680252499;0.5181649611977199;2.2464646464646463;6.012087424093487;20;32;5;0.05;0.02;2
100;775;15.5;33;4;0.6037517957149963;0.5042856130905999;2.279191919191919;4.8298137074615095;19;31;6;0.05;0.02;2
100;737;14.74;32;3;0.590623992449111;0.49908066192341516;2.2818181818181817;3.277527059548786;11;67;7;0.05;0.02;2
100;696;13.92;34;2;0.554415330396963;0.5060273479668945;2.4;6.758827574404154;20;22;8;0.05;0.02;2
100;769;15.38;33;4;0.5882955486690268;0.5037706264466513;2.2953535353535353;3.30249169774896;11;76;9;0.05;0.02;2
100;686;13.72;31;4;0.565830252106335;0.4876746894409938;2.3945454545454545;6.362807334135812;18;24;0;0.05;0.03;2
100;897;17.94;38;4;0.5999210739737887;0.5223387221734415;2.1658585858585857;2.693401107543691;10;85;1;0.05;0.03;2
100;891;17.82;33;6;0.6024624373567875;0.5254353021509047;2.1832323232323234;6.38111948895072;21;38;2;0.05;0.03;2
100;674;13.48;26;3;0.5596436748800323;0.5013733361504331;2.455959595959596;3.771709602014914;10;81;3;0.05;0.03;2
100;641;12.82;32;4;0.5700506715914472;0.5072239991176795;2.4963636363636366;6.690387002705748;19;12;4;0.05;0.03;2
100;808;16.16;36;5;0.6036540873152623;0.5173880748193666;2.2393939393939393;5.775691480354647;20;32;5;0.05;0.03;2
100;778;15.56;34;4;0.6035358435355289;0.5042602633617351;2.2755555555555556;4.815740850554089;19;31;6;0.05;0.03;2
100;750;15.0;32;3;0.5933584075463518;0.50026958330124;2.2692929292929294;3.1083062903651584;10;78;7;0.05;0.03;2
100;703;14.06;34;3;0.5582383938121008;0.5066654895382714;2.384040404040404;7.361661275483785;23;11;8;0.05;0.03;2
100;775;15.5;33;4;0.5896089488869868;0.5043217111046001;2.287272727272727;3.2682804470286495;11;76;9;0.05;0.03;2
100;696;13.92;31;4;0.5701530381318944;0.4891365424236748;2.368888888888889;8.931178886659767;23;10;0;0.05;0.04;2
100;913;18.26;39;4;0.6060006452599485;0.5253104583312553;2.1545454545454548;2.687190750294194;10;87;1;0.05;0.04;2
100;899;17.98;33;7;0.6015719096221798;0.5258234371498992;2.1743434343434345;6.342922584349028;21;39;2;0.05;0.04;2
100;681;13.62;27;3;0.5597845013192638;0.5004639653572533;2.4355555555555557;3.6975353550275005;10;81;3;0.05;0.04;2
100;647;12.94;32;4;0.5720291788860402;0.5064303469145142;2.4844444444444442;5.8168147600433135;16;27;4;0.05;0.04;2
100;819;16.38;36;6;0.60431275154459;0.5156311572310521;2.217171717171717;5.228665820995758;19;37;5;0.05;0.04;2
100;789;15.78;35;4;0.6082802232003105;0.5055949781659389;2.2644444444444445;5.097391102173585;20;29;6;0.05;0.04;2
100;753;15.06;32;3;0.5958385372963118;0.5017565297082633;2.267878787878788;3.2474754176075713;11;69;7;0.05;0.04;2
100;710;14.2;35;3;0.5601674489445895;0.5073263230477504;2.373939393939394;6.219908696459398;20;22;8;0.05;0.04;2
