n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;powerlaw_ks;powerlaw_valid;powerlaw_reason;seed;beta;gamma;dim
100;118;2.36;7;0;0.3878571428571428;0.4349442379182156;7.860892388451443;3.967009776199462;2;74;0.43243243243243246;True;ok;0;0.01;0.0;2
100;190;3.8;12;0;0.4543989898989898;0.4033333333333333;4.45643153526971;2.4493833722842058;2;80;0.219382063626517;True;ok;1;0.01;0.0;2
100;177;3.54;9;0;0.43120634920634926;0.5506849315068493;6.530210016155089;2.418966444608131;2;75;0.2374871962075294;True;ok;2;0.01;0.0;2
100;129;2.58;8;0;0.3594523809523809;0.49014084507042255;3.715527950310559;3.210314922957965;2;70;0.34285714285714286;True;ok;3;0.01;0.0;2
100;121;2.42;8;0;0.3563571428571428;0.47181008902077154;3.6117511520737327;5.382990700091253;4;23;0.34782608695652173;True;ok;4;0.01;0.0;2
100;153;3.06;9;0;0.4467857142857142;0.47184466019417476;5.443776520509194;2.889886922238635;2;77;0.3116883116883117;True;ok;5;0.01;0.0;2
100;140;2.8;10;0;0.41734920634920647;0.44766146993318484;4.189902034664657;3.2252160225275004;2;73;0.3835616438356164;True;ok;6;0.01;0.0;2
100;128;2.56;9;0;0.4125238095238095;0.5447570332480819;3.9607843137254903;4.414546330360832;4;23;0.2723675979184446;True;ok;7;0.01;0.0;2
100;132;2.64;8;0;0.40119047619047604;0.4405594405594406;4.68035343035343;4.010331929412157;4;25;0.2891790580680665;True;ok;8;0.01;0.0;2
100;147;2.94;10;0;0.5049682539682541;0.5074946466809421;5.171059431524548;2.915974155796498;2;77;0.29339939212475574;True;ok;9;0.01;0.0;2
100;125;2.5;7;0;0.4023333333333332;0.4131147540983607;7.45083932853717;3.7117089668693906;2;77;0.38961038961038963;True;ok;0;0.01;0.05;2
100;196;3.92;12;0;0.4750497835497834;0.4059917355371901;4.362460336831828;2.4156140359014486;2;81;0.21449983900420078;True;ok;1;0.01;0.05;2
100;183;3.66;9;0;0.4297380952380953;0.5478927203065134;6.605342136854742;3.059203218267135;3;62;0.22580645161290322;True;ok;2;0.01;0.05;2
100;136;2.72;9;0;0.39305555555555555;0.49385749385749383;5.507211538461538;4.11460619848663;3;47;0.2978723404255319;True;ok;3;0.01;0.05;2
100;128;2.56;8;0;0.3943333333333333;0.48517520215633425;3.8353909465020575;4.998569219548464;4;24;0.2916666666666667;True;ok;4;0.01;0.05;2
100;165;3.3;11;0;0.4497157287157286;0.45641838351822506;4.884958791208791;2.768692208725663;2;79;0.2911392405063291;True;ok;5;0.01;0.05;2
100;150;3.0;11;0;0.4124769119769121;0.45714285714285713;4.072409488139825;4.069119799670101;4;27;0.2962962962962963;True;ok;6;0.01;0.05;2
100;135;2.7;9;0;0.4340952380952382;0.5473441108545035;5.006088280060883;2.94837978368695;2;70;0.2857142857142857;True;ok;7;0.01;0.05;2
100;136;2.72;8;0;0.41790476190476183;0.436241610738255;4.714494875549049;4.001821767914372;4;26;0.2959004014629296;True;ok;8;0.01;0.05;2
100;151;3.02;10;0;0.5052063492063493;0.5020408163265306;5.0370942812983;2.88497973457615;2;78;0.2907474563759569;True;ok;9;0.01;0.05;2
100;135;2.7;8;0;0.43273809523809526;0.4087193460490463;7.25;3.3811557890148065;2;78;0.3333333333333333;True;ok;0;0.01;0.1;2
100;205;4.1;12;0;0.47404040404040393;0.3930254476908577;4.139923591212989;2.351705476214119;2;82;0.23900842921827864;True;ok;1;0.01;0.1;2
100;188;3.76;9;0;0.43090476190476196;0.543451652386781;6.455344070278184;2.3363946104087194;2;76;0.24728282609653404;True;ok;2;0.01;0.1;2
100;141;2.82;9;0;0.40609523809523806;0.5057736720554272;5.405901116427432;2.936510495681215;2;72;0.266188006353996;True;ok;3;0.01;0.1;2
100;133;2.66;8;0;0.4137619047619048;0.48120300751879697;3.8313953488372094;4.862703708424065;4;25;0.32;True;ok;4;0.01;0.1;2
100;181;3.62;19;0;0.46981563757879535;0.42160278745644597;4.217323812480596;2.612034244691942;2;80;0.2625;True;ok;5;0.01;0.1;2
100;155;3.1;11;0;0.4247784992784995;0.44727272727272727;5.638480392156863;2.926737929985184;2;77;0.2727272727272727;True;ok;6;0.01;0.1;2
100;142;2.84;9;0;0.47384920634920646;0.5605749486652978;4.864035087719298;2.9014382398342815;2;73;0.2876712328767123;True;ok;7;0.01;0.1;2
100;145;2.9;9;0;0.41585714285714276;0.42105263157894735;4.788132218239745;3.812723822837819;4;28;0.25186471510903885;True;ok;8;0.01;0.1;2
100;162;3.24;11;0;0.5136580086580087;0.4930795847750865;5.316621673736984;2.804313202199091;2;81;0.25925925925925924;True;ok;9;0.01;0.1;2
100;145;2.9;14;0;0.43078754578754586;0.3582089552238806;6.508730779254626;3.253418335836513;2;80;0.3375;True;ok;0;0.01;0.15;2
100;212;4.24;13;0;0.4875944055944055;0.3882978723404255;4.023400191021968;2.3456923052385203;2;85;0.24405355312841717;True;ok;1;0.01;0.15;2
100;190;3.8;9;0;0.43695238095238104;0.5490430622009569;6.416105417276721;3.0136735046994287;3;64;0.21875;True;ok;2;0.01;0.15;2
100;151;3.02;11;0;0.41878932178932177;0.4932301740812379;5.2642089093702;2.7559702738044702;2;73;0.27645387745455646;True;ok;3;0.01;0.15;2
100;147;2.94;12;0;0.4351558441558442;0.4624277456647399;6.412052730696798;3.0244565080411925;2;77;0.33766233766233766;True;ok;4;0.01;0.15;2
100;199;3.98;29;0;0.5443358805945012;0.3743801652892562;3.896276036187671;2.5233317288772232;2;84;0.25;True;ok;5;0.01;0.15;2
100;163;3.26;11;0;0.4248174603174604;0.4410339256865913;5.293811274509804;2.83617632342267;2;79;0.27848101265822783;True;ok;6;0.01;0.15;2
100;149;2.98;9;0;0.5053650793650795;0.5687732342007435;4.777263714474554;2.803990457600465;2;75;0.26666666666666666;True;ok;7;0.01;0.15;2
100;153;3.06;10;0;0.411111111111111;0.4227504244482173;4.590592334494773;3.755960178515946;4;31;0.22580645161290322;True;ok;8;0.01;0.15;2
100;172;3.44;11;0;0.5190541125541125;0.484304932735426;5.0029663810151614;2.6967923555488102;2;82;0.25609756097560976;True;ok;9;0.01;0.15;2
100;165;3.3;20;0;0.48060484544695065;0.3605150214592275;4.595130102649797;2.869006760678041;2;82;0.2804878048780488;True;ok;0;0.01;0.2;2
100;224;4.48;14;0;0.5255214785214785;0.3951104100946372;3.79847182425979;4.322407380266736;7;20;0.2;True;ok;1;0.01;0.2;2
100;199;3.98;11;0;0.43444660894660897;0.5301724137931034;5.9421487603305785;2.877950881049621;3;64;0.21059107581468406;True;ok;2;0.01;0.2;2
100;160;3.2;13;0;0.4444542124542123;0.48743718592964824;5.444696539988656;2.699785360245506;2;76;0.27434013365561716;True;ok;3;0.01;0.2;2
100;158;3.16;12;0;0.43726046176046174;0.45454545454545453;6.515004286939125;2.872451210369112;2;79;0.31645569620253167;True;ok;4;0.01;0.2;2
100;222;4.44;47;0;0.6078369723092202;0.27889447236180903;3.1469800041228613;2.460702816376867;2;89;0.23595505617977527;True;ok;5;0.01;0.2;2
100;171;3.42;12;0;0.4611277056277058;0.4297752808988764;4.341911764705882;2.818431385139553;2;82;0.3048780487804878;True;ok;6;0.01;0.2;2
100;161;3.22;11;0;0.5254357864357865;0.555379746835443;4.403422982885085;5.0937118674928765;5;24;0.25;True;ok;7;0.01;0.2;2
100;158;3.16;12;0;0.42242496392496376;0.4351851851851852;4.542160278745644;3.5714086363676523;4;32;0.21875;True;ok;8;0.01;0.2;2
100;181;3.62;12;0;0.5222582972582973;0.4714285714285714;4.540488431876606;2.5818287282179404;2;82;0.23911255622870137;True;ok;9;0.01;0.2;2
100;181;3.62;27;0;0.5323644688644688;0.3333333333333333;4.339963420210334;2.7387881047274902;2;85;0.27058823529411763;True;ok;0;0.01;0.25;2
100;242;4.84;16;0;0.5521672771672772;0.4036144578313253;3.7612076852698992;3.338522417169738;5;40;0.175;True;ok;1;0.01;0.25;2
100;218;4.36;12;0;0.45146392496392507;0.5116279069767442;4.248134328358209;2.6834921588346106;3;66;0.21318925345172668;True;ok;2;0.01;0.25;2
100;170;3.4;14;0;0.48744327894327893;0.49067431850789095;5.39162201656113;2.6410328014417583;2;79;0.25807455067638096;True;ok;3;0.01;0.25;2
100;164;3.28;13;0;0.4350340770340771;0.44157814871016693;6.447111359196204;2.7721672940866355;2;79;0.27848101265822783;True;ok;4;0.01;0.25;2
