n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.25;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.5;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;0.75;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;1.0;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;1.25;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;1.5;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;1.75;2
200;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0;0.0;2.0;2
200;127;0.635;6;0.635;3;1.27;7;0.18654761904761905;0.44642857142857145;2.06984126984127;0;0.4;0.0;2
200;155;0.775;7;0.775;3;1.55;8;0.26179761904761906;0.47368421052631576;3.008833922261484;0;0.4;0.25;2
200;208;1.04;17;1.04;5;2.08;17;0.31117659056629643;0.4117647058823529;4.01628664495114;0;0.4;0.5;2
200;288;1.44;39;1.44;5;2.88;39;0.39356416244574133;0.28776185226019846;4.805396218398131;0;0.4;0.75;2
200;524;2.62;135;2.62;7;5.24;135;0.6554446932804342;0.13065436978480457;2.8876956287102;0;0.4;1.0;2
200;851;4.255;199;4.255;11;8.51;199;0.7728507263071833;0.10399041700980759;1.9572361809045227;0;0.4;1.25;2
200;1185;5.925;199;5.925;15;11.85;199;0.7397978452741587;0.1087232422370759;1.9404522613065327;0;0.4;1.5;2
200;1449;7.245;199;7.245;17;14.49;199;0.717891788358079;0.12939291755822682;1.9271859296482412;0;0.4;1.75;2
200;1761;8.805;199;8.805;19;17.61;199;0.7029063951256035;0.15837274785137198;1.9115075376884423;0;0.4;2.0;2
200;231;1.155;7;1.155;5;2.31;8;0.380297619047619;0.51010101010101;3.0328947368421053;0;0.8;0.0;2
200;295;1.475;11;1.475;5;2.95;11;0.4308156565656565;0.5140449438202247;4.927859237536657;0;0.8;0.25;2
200;390;1.95;27;1.95;7;3.9;27;0.5203227883227882;0.45141065830721006;5.389958079268292;0;0.8;0.5;2
200;605;3.025;86;3.025;10;6.05;86;0.6846869293583027;0.2796410544026921;3.8641425389755013;0;0.8;0.75;2
200;977;4.885;198;4.885;13;9.77;198;0.7907132332103233;0.16308148776094097;1.9583417085427135;0;0.8;1.0;2
200;1387;6.935;199;6.935;15;13.87;199;0.769266754701339;0.15364310443168103;1.9303015075376884;0;0.8;1.25;2
200;1706;8.53;199;8.53;17;17.06;199;0.7455324678403862;0.17633778754042345;1.9142713567839196;0;0.8;1.5;2
200;2087;10.435;199;10.435;19;20.87;199;0.6905621133691038;0.20245353525420395;1.8951256281407036;0;0.8;1.75;2
200;2651;13.255;199;13.255;25;26.51;199;0.6171218573393804;0.2148737109550142;1.86678391959799;0;0.8;2.0;2
200;294;1.47;9;1.47;5;2.94;10;0.41565079365079355;0.5149948293691831;8.373516168645109;0;1.0;0.0;2
200;360;1.8;13;1.8;6;3.6;13;0.4820769230769231;0.5078431372549019;7.337436991081814;0;1.0;0.25;2
200;487;2.435;34;2.435;10;4.87;34;0.6072720251118591;0.44804038004750596;5.410737386804657;0;1.0;0.5;2
200;745;3.725;111;3.725;11;7.45;111;0.7084849412748403;0.2746065133821716;2.9492412078520744;0;1.0;0.75;2
200;1164;5.82;199;5.82;13;11.64;199;0.7836995514499497;0.18197947028260042;1.9415075376884423;0;1.0;1.0;2
200;1554;7.77;199;7.77;16;15.54;199;0.7758000271022624;0.17745811832897435;1.9219095477386934;0;1.0;1.25;2
200;1925;9.625;199;9.625;17;19.25;199;0.7289156879336457;0.20177946670807795;1.9032663316582914;0;1.0;1.5;2
200;2405;12.025;199;12.025;22;24.05;199;0.6673563426536383;0.2251760995268968;1.879145728643216;0;1.0;1.75;2
200;3031;15.155;199;15.155;28;30.31;199;0.6047382429300976;0.23348302119159545;1.8476884422110553;0;1.0;2.0;2
