n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;18;0.09;2;0.09;2;0.18;2;0.0;4;0.0;1.3333333333333333;0;0.1;0.1;2
200;17;0.085;3;0.085;3;0.17;3;0.8;5;0.9230769230769231;1.0555555555555556;1;0.1;0.1;2
200;15;0.075;2;0.075;1;0.15;2;0.0;3;0.0;1.263157894736842;2;0.1;0.1;2
200;23;0.115;2;0.115;2;0.23;2;0.0;4;0.0;1.2758620689655173;0;0.1;0.3;2
200;18;0.09;3;0.09;3;0.18;3;0.6666666666666666;6;0.8571428571428571;1.1;1;0.1;0.3;2
200;20;0.1;3;0.1;1;0.2;3;0.0;3;0.0;1.3333333333333333;2;0.1;0.3;2
200;31;0.155;3;0.155;2;0.31;4;0.2708333333333333;8;0.2;1.52;0;0.1;0.5;2
200;32;0.16;3;0.16;3;0.32;3;0.3333333333333333;12;0.5454545454545454;1.2790697674418605;1;0.1;0.5;2
200;37;0.185;5;0.185;2;0.37;5;0.51;10;0.32142857142857145;1.3272727272727274;2;0.1;0.5;2
200;44;0.22;5;0.22;2;0.44;5;0.16999999999999998;10;0.15;1.625;0;0.1;0.7;2
200;44;0.22;7;0.22;3;0.44;7;0.715686274509804;17;0.42;1.3972602739726028;1;0.1;0.7;2
200;56;0.28;10;0.28;2;0.56;10;0.32483660130718955;17;0.12371134020618557;1.8579881656804733;2;0.1;0.7;2
200;64;0.32;15;0.32;3;0.64;15;0.2982993197278912;14;0.14457831325301204;1.8949579831932772;0;0.1;0.9;2
200;82;0.41;30;0.41;3;0.82;30;0.8459421804249391;33;0.10159362549800798;1.9017857142857142;1;0.1;0.9;2
200;99;0.495;24;0.495;3;0.99;24;0.6339724045540255;29;0.09845559845559845;1.9086378737541527;2;0.1;0.9;2
200;78;0.39;18;0.39;3;0.78;18;0.36620915032679735;25;0.156;2.5045662100456623;0;0.1;1.0;2
200;113;0.565;51;0.565;3;1.13;51;0.771610318546023;43;0.04974765681326604;1.9967277486910995;1;0.1;1.0;2
