beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;vertices_degree_ge_2_mean;vertices_degree_ge_2_median;vertices_degree_ge_2_std;vertices_degree_ge_2_cv;vertices_degree_ge_2_ci_low;vertices_degree_ge_2_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;indegree_powerlaw_alpha_theory;indegree_ccdf_slope_theory;outdegree_mean_vs_theory_ratio
0.05;0.05;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;110.7;110.0;11.419719786404569;0.10315916699552456;103.62198434587772;117.77801565412229;0.055349999999999996;0.055;0.005709859893202285;0.10315916699552458;0.05181099217293886;0.058889007827061135;2.2;2.0;0.39999999999999997;0.1818181818181818;1.9520774314427993;2.447922568557201;0.055349999999999996;0.055;0.005709859893202285;0.10315916699552458;0.05181099217293886;0.058889007827061135;2.0;2.0;0.4472135954999579;0.22360679774997896;1.7228141417748732;2.2771858582251268;0.11069999999999999;0.11;0.01141971978640457;0.10315916699552458;0.10362198434587772;0.11777801565412227;2.3;2.0;0.45825756949558405;0.19924242151981916;2.015969015774687;2.5840309842253126;0.41343835512313765;0.43012820512820515;0.16891528422541602;0.4085622007060923;0.3087435772888007;0.5181331329574745;15.1;15.0;5.068530358989675;0.3356642621847467;11.958492336472819;18.24150766352718;0.4127555085579383;0.42500000000000004;0.17274800211873217;0.41852379565391945;0.30568518756193613;0.5198258295539404;1.0966745741983719;1.08462940066376;0.04071181001987896;0.03712296334547354;1.071441132921519;1.1219080154752248;0.052631578947368425;21.0;-20.0;1.0516499999999998
0.05;0.15;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;121.7;118.0;13.446560898608983;0.11048940754814283;113.3657352093901;130.0342647906099;0.06085;0.059;0.006723280449304492;0.11048940754814283;0.05668286760469505;0.06501713239530496;2.4;2.0;0.48989794855663565;0.20412414523193154;2.0963581056573384;2.7036418943426614;0.06085;0.059;0.006723280449304492;0.11048940754814283;0.05668286760469505;0.06501713239530496;2.1;2.0;0.3;0.14285714285714285;1.9140580735820993;2.285941926417901;0.1217;0.118;0.013446560898608984;0.11048940754814283;0.1133657352093901;0.13003426479060992;2.6;3.0;0.48989794855663565;0.1884222879063983;2.2963581056573386;2.9036418943426616;0.4039650502576199;0.4177109440267334;0.114112585149532;0.2824813311863469;0.3332373372201842;0.4746927632950556;18.6;18.0;5.96992462263972;0.32096368938923225;14.899802383655707;22.300197616344295;0.3938564930380787;0.38315217391304346;0.11875306092008427;0.30151352845312374;0.32025258331973605;0.4674604027564213;1.115456232238779;1.1204837490551776;0.03920727024318828;0.03514908887504912;1.0911553143767603;1.139757150100798;0.05882352941176471;7.666666666666667;-6.666666666666667;1.0344499999999999
0.05;0.25;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;135.1;132.0;14.117011015083895;0.10449304970454401;126.35018592197525;143.84981407802474;0.06755;0.066;0.007058505507541946;0.10449304970454398;0.06317509296098762;0.07192490703901237;2.9;3.0;0.7;0.24137931034482757;2.4661355050248983;3.3338644949751015;0.06755;0.066;0.007058505507541946;0.10449304970454398;0.06317509296098762;0.07192490703901237;2.2;2.0;0.39999999999999997;0.1818181818181818;1.9520774314427993;2.447922568557201;0.1351;0.132;0.014117011015083891;0.10449304970454398;0.12635018592197525;0.14384981407802475;3.0;3.0;0.6324555320336759;0.21081851067789195;2.608;3.392;0.42037233375943045;0.42857142857142855;0.11824700767899612;0.28129112737154155;0.34708207908948097;0.49366258842937993;23.5;21.5;6.5;0.2765957446808511;19.471258260945483;27.528741739054517;0.395619190673082;0.41428571428571426;0.1114333596220555;0.2816682361451417;0.32655207882193626;0.4646863025242277;1.1615131536022973;1.1539215686274509;0.092742177513576;0.07984599849424603;1.1040309564454132;1.2189953507591815;0.06666666666666667;5.0;-4.0;1.01325
0.05;0.35;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;155.4;153.0;17.425269007966563;0.11213171819798302;144.59970637436186;166.20029362563815;0.07769999999999999;0.0765;0.00871263450398328;0.11213171819798304;0.07229985318718092;0.08310014681281906;4.1;4.0;1.5132745950421556;0.3690913646444282;3.1620626886619765;5.037937311338023;0.07769999999999999;0.0765;0.00871263450398328;0.11213171819798304;0.07229985318718092;0.08310014681281906;2.2;2.0;0.39999999999999997;0.1818181818181818;1.9520774314427993;2.447922568557201;0.15539999999999998;0.153;0.01742526900796656;0.11213171819798304;0.14459970637436184;0.16620029362563812;4.2;4.0;1.469693845669907;0.3499271061118826;3.289074316972016;5.110925683027984;0.41646015723792196;0.4007936507936508;0.058177203017476406;0.13969452300869206;0.3804015532290057;0.4525187612468382;32.3;30.5;9.950376877284597;0.3080612036311021;26.132692516178555;38.46730748382144;0.3562495372274784;0.375;0.06835268667610145;0.1918674399075942;0.31388410310616677;0.39861497134879;1.2605550109261454;1.2235001733903594;0.1645624239090324;0.13054759410152703;1.15855816386733;1.362551857984961;0.07692307692307693;3.857142857142857;-2.857142857142857;1.0100999999999998
0.05;0.45;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;182.5;184.0;20.175480167768004;0.11055057626174249;169.99510783733024;195.00489216266976;0.09125;0.092;0.010087740083884003;0.1105505762617425;0.0849975539186651;0.09750244608133489;6.2;5.5;2.2715633383201097;0.3663811836000177;4.792070456308271;7.607929543691729;0.09125;0.092;0.010087740083884003;0.1105505762617425;0.0849975539186651;0.09750244608133489;2.3;2.0;0.45825756949558405;0.19924242151981916;2.015969015774687;2.5840309842253126;0.1825;0.184;0.020175480167768007;0.1105505762617425;0.1699951078373302;0.19500489216266978;6.2;5.5;2.2715633383201097;0.3663811836000177;4.792070456308271;7.607929543691729;0.44991722528679057;0.4500041625041625;0.0555020564751545;0.12336059469555949;0.4155166942829728;0.48431775629060836;43.5;43.0;12.917043005270207;0.2969435173625335;35.49393379992396;51.50606620007604;0.32707770514780776;0.34203296703296704;0.06645047064103532;0.20316417045608803;0.2858912767399069;0.36826413355570864;1.3496982785402527;1.307274418898035;0.17650037182610148;0.13077024297385412;1.2403022147041824;1.459094342376323;0.09090909090909091;3.2222222222222223;-2.2222222222222223;1.00375
0.05;0.55;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;225.6;229.5;25.706808436676848;0.11394861895690092;209.66675505742788;241.5332449425721;0.11280000000000001;0.11475;0.012853404218338426;0.11394861895690094;0.10483337752871395;0.12076662247128607;10.7;9.0;5.441507144165117;0.5085520695481418;7.327318929990563;14.072681070009436;0.11280000000000001;0.11475;0.012853404218338426;0.11394861895690094;0.10483337752871395;0.12076662247128607;2.5;2.5;0.5;0.2;2.1900967893034986;2.8099032106965014;0.22560000000000002;0.2295;0.025706808436676852;0.11394861895690094;0.2096667550574279;0.24153324494257214;10.7;9.0;5.441507144165117;0.5085520695481418;7.327318929990563;14.072681070009436;0.4629432183335716;0.44505772005772004;0.05549612861033882;0.11987675034986978;0.42854636145843167;0.49734007520871154;59.6;59.5;14.806755215103681;0.24843549018630337;50.42267803768441;68.77732196231558;0.2515067841852944;0.24871794871794872;0.09964699778960122;0.39620003934441617;0.18974493508276524;0.3132686332878235;1.5483026253405092;1.545599426892449;0.2293661183127748;0.14814036646248768;1.4061400323602644;1.690465218320754;0.11111111111111113;2.8181818181818183;-1.8181818181818181;1.0151999999999999
0.05;0.65;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;284.9;289.5;38.62240282530335;0.13556476948158425;260.96158671924974;308.8384132807502;0.14245;0.14475;0.019311201412651673;0.13556476948158425;0.13048079335962487;0.15441920664037512;19.1;14.5;12.86429166336025;0.6735231237361387;11.126629420376851;27.073370579623152;0.14245;0.14475;0.019311201412651673;0.13556476948158425;0.13048079335962487;0.15441920664037512;2.7;3.0;0.45825756949558405;0.1697250257391052;2.4159690157746874;2.984030984225313;0.2849;0.2895;0.03862240282530335;0.13556476948158425;0.26096158671924974;0.30883841328075023;19.1;14.5;12.86429166336025;0.6735231237361387;11.126629420376851;27.073370579623152;0.49161196890617137;0.4988641960914523;0.042372048906445255;0.08619002706692104;0.4653495009063783;0.5178744369059645;81.2;84.5;18.76592656918384;0.2311074700638404;69.5687582090303;92.8312417909697;0.18062727150643063;0.1715375262517962;0.08877737060270607;0.4914948327697319;0.12560248713248706;0.2356520558803742;1.7709531010560806;1.7153218228799623;0.25209276716686124;0.14234864097560213;1.614704385179329;1.9272018169328322;0.14285714285714288;2.5384615384615383;-1.5384615384615383;0.9971499999999999
0.05;0.75;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;384.3;375.5;67.26968113496599;0.17504470761115273;342.6058196674884;425.99418033251163;0.19215;0.18775;0.033634840567483004;0.1750447076111528;0.17130290983374416;0.21299709016625581;40.9;28.0;32.101246081733336;0.7848715423406684;21.003441543824724;60.796558456175276;0.19215;0.18775;0.033634840567483004;0.1750447076111528;0.17130290983374416;0.21299709016625581;3.1;3.0;0.5385164807134505;0.17371499377853242;2.7662240272278424;3.4337759727721577;0.3843;0.3755;0.06726968113496601;0.1750447076111528;0.3426058196674883;0.42599418033251163;40.9;28.0;32.101246081733336;0.7848715423406684;21.003441543824724;60.796558456175276;0.5356669162922951;0.5524586133766083;0.061214251569347435;0.11427670760974327;0.4977259300888469;0.5736079024957433;114.2;123.0;26.772373820787728;0.2344340965042708;97.60631078994186;130.79368921005815;0.1120801394640438;0.1173689138576779;0.05848933573622554;0.5218528101045894;0.07582807359172;0.1483322053363676;1.9630046983220022;2.058671152869105;0.29454557912956625;0.15004833120437613;1.7804434569845764;2.145565939659428;0.2;2.333333333333333;-1.3333333333333333;0.9607499999999999
0.05;0.85;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;536.8;514.5;130.3992331265794;0.24291958481106446;455.97771796342295;617.622282036577;0.2683999999999999;0.25725;0.06519961656328968;0.24291958481106446;0.22798885898171142;0.30881114101828844;87.2;58.0;82.50915100763066;0.9462058601792507;36.06029838178561;138.3397016182144;0.2683999999999999;0.25725;0.06519961656328968;0.24291958481106446;0.22798885898171142;0.30881114101828844;3.5;3.5;0.5;0.14285714285714285;3.1900967893034986;3.8099032106965014;0.5367999999999998;0.5145;0.13039923312657936;0.24291958481106446;0.45597771796342285;0.6176222820365769;87.2;58.0;82.50915100763066;0.9462058601792507;36.06029838178561;138.3397016182144;0.5829021218737422;0.5871229851711648;0.08015828287181999;0.13751585362933785;0.5332195034219515;0.632584740325533;158.6;159.5;42.34430304066888;0.26698803934847976;132.35472906598218;184.8452709340178;0.06896987987369473;0.059385990068374264;0.04736998595713419;0.6868213493177507;0.03960965839616661;0.09833010135122283;2.0227182362028877;2.063837646757716;0.18388315981063377;0.0909089345809356;1.9087462729662212;2.136690199439554;0.3333333333333333;2.1764705882352944;-1.1764705882352942;0.8051999999999998
0.05;0.95;2;2000.0;2000.0;0.0;0.0;2000.0;2000.0;831.5;785.5;298.64234461978094;0.3591609676726169;646.3995571047979;1016.6004428952021;0.41574999999999995;0.39275;0.14932117230989048;0.35916096767261696;0.3231997785523989;0.508300221447601;200.0;118.0;220.47403475239437;1.1023701737619718;63.348777510042;336.651222489958;0.41574999999999995;0.39275;0.14932117230989048;0.35916096767261696;0.3231997785523989;0.508300221447601;4.0;4.0;0.4472135954999579;0.11180339887498948;3.7228141417748732;4.277185858225127;0.8314999999999999;0.7855;0.29864234461978095;0.35916096767261696;0.6463995571047978;1.016600442895202;200.0;118.0;220.47403475239437;1.1023701737619718;63.348777510042;336.651222489958;0.6623025272610882;0.6675432781380468;0.09376023533328423;0.1415670807131357;0.6041893313301996;0.7204157231919768;259.5;244.0;92.30628364309767;0.3557082221313976;202.28797266308422;316.7120273369158;0.044983518531314395;0.039128215648896424;0.03408647263290227;0.7577547009617231;0.02385650391080473;0.06611053315182405;2.345790086615415;2.353331639604468;0.3073836035527168;0.13103627869628362;2.15527175530252;2.5363084179283097;0.9999999999999992;2.052631578947368;-1.0526315789473684;0.4157500000000003
