beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;degree_mean_mean;degree_mean_median;degree_mean_std;degree_mean_cv;degree_mean_ci_low;degree_mean_ci_high;degree_max_mean;degree_max_median;degree_max_std;degree_max_cv;degree_max_ci_low;degree_max_ci_high;degree_min_mean;degree_min_median;degree_min_std;degree_min_cv;degree_min_ci_low;degree_min_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;powerlaw_alpha_mean;powerlaw_alpha_median;powerlaw_alpha_std;powerlaw_alpha_cv;powerlaw_alpha_ci_low;powerlaw_alpha_ci_high;powerlaw_k_min_mean;powerlaw_k_min_median;powerlaw_k_min_std;powerlaw_k_min_cv;powerlaw_k_min_ci_low;powerlaw_k_min_ci_high;powerlaw_n_tail_mean;powerlaw_n_tail_median;powerlaw_n_tail_std;powerlaw_n_tail_cv;powerlaw_n_tail_ci_low;powerlaw_n_tail_ci_high
0.01;0.0;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;15556.7;15528.0;488.3238781792265;0.03138993990879984;15254.033724584982;15859.36627541502;31.113400000000002;31.055999999999997;0.9766477563584527;0.03138993990879983;30.508067449169964;31.71873255083004;90.2;90.0;6.705221845696084;0.0743372710165863;86.04406044317292;94.35593955682708;7.4;7.5;1.5620499351813308;0.21108782907855822;6.431831419638089;8.368168580361912;0.583084067675314;0.5830589765178809;0.002863228962966918;0.004910490822330762;0.5813094199781487;0.5848587153724792;0.47198721416952216;0.4719367559009313;0.0102554193832211;0.02172817202530765;0.46563083938172345;0.4783435889573209;3.1712654654654653;3.174817817817818;0.0679608029909565;0.021430184174436966;3.129142923368646;3.2133880075622847;5.023478272423037;4.237650260058406;1.9607637198972674;0.39031993641957324;3.8081843279962806;6.238772216849793;37.6;36.5;12.947586647711612;0.34435070871573437;29.57500265420605;45.62499734579396;349.6;306.0;234.77103739601273;0.6715418689817297;204.08740346485465;495.11259653514537
0.01;0.1;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;17201.0;17099.0;616.3956521585791;0.03583487309799309;16818.954016673386;17583.045983326614;34.402;34.19799999999999;1.2327913043171586;0.035834873097993096;33.63790803334677;35.166091966653234;124.8;127.0;12.023310692151309;0.09634063054608422;117.34787482660147;132.25212517339853;8.2;8.5;1.4000000000000001;0.1707317073170732;7.332271010049796;9.067728989950202;0.5993328051706704;0.5986722867415255;0.0024012415719413564;0.004006524507293675;0.5978445002250654;0.6008211101162755;0.4679683125600015;0.46755888311427674;0.010501339911669036;0.022440279886092897;0.4614595146495184;0.4744771104704846;2.9942996996997;2.996083083083083;0.06666895531276446;0.022265291386647346;2.952977853089285;3.0356215463101144;4.577505611994596;4.3793082175191955;1.2158529574290458;0.26561473878767167;3.8239121415104007;5.331099082478791;44.5;44.5;11.664047325006875;0.26211342303386237;37.270548568528866;51.729451431471134;266.4;211.5;150.23062271055124;0.5639287639284957;173.2860953541309;359.51390464586905
0.01;0.2;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;19201.7;19042.5;805.3298765102411;0.041940550915296096;18702.55137119932;19700.848628800682;38.40339999999999;38.084999999999994;1.610659753020482;0.0419405509152961;37.405102742398626;39.401697257601356;185.2;183.5;34.330161665800524;0.1853680435518387;163.92194535207693;206.47805464792305;9.9;10.0;0.9433981132056604;0.09529273870764246;9.315275791505089;10.484724208494912;0.6172750532044518;0.617340117134628;0.0027222021304766308;0.004410031016715966;0.6155878148436527;0.6189622915652508;0.4591467041437771;0.45746088389959244;0.011854761113458684;0.02581911403581912;0.45179904708157537;0.46649436120597887;2.8142572572572573;2.8194304304304305;0.06222992718709857;0.02211238046082082;2.775686748783875;2.85282776573064;3.9847653880076295;3.935277805391803;0.6299308792211376;0.1580848099908088;3.5943301840326285;4.3752005919826304;45.8;46.5;11.931470990619722;0.26051246704409875;38.40479766334957;53.195202336650425;311.8;255.5;182.23215962063335;0.5844520834529613;198.85133728281687;424.74866271718315
0.01;0.3;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;21716.9;21570.0;1060.5109570391057;0.0488334411006684;21059.588498869525;22374.211501130478;43.433800000000005;43.14;2.1210219140782107;0.04883344110066838;42.11917699773905;44.74842300226096;293.2;283.5;79.01240408948458;0.26948296074176187;244.22760457563874;342.17239542436124;11.7;11.0;1.6155494421403511;0.13808114890088471;10.698672081683528;12.701327918316471;0.6374848870653265;0.6388300428595779;0.004344644064796355;0.0068152895118769085;0.6347920487752987;0.6401777253553542;0.4420415089411188;0.43865863551176987;0.015051264725983138;0.03404943748843281;0.4327126384138685;0.45137037946836917;2.631778178178178;2.6371691691691694;0.06726268783449167;0.025557886448109995;2.5900883323382073;2.673468024018149;3.6954242748243638;3.7769880200906396;0.5167933724986701;0.13984683058435346;3.375112424016342;4.015736125632385;52.4;50.5;19.764614845728715;0.3771873062161969;40.14976480225788;64.65023519774212;331.3;250.5;230.93074719491122;0.697044211273502;188.16763999151;474.43236000849004
0.01;0.4;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;24895.8;24787.5;1432.6323184962707;0.05754514088706813;24007.845289500867;25783.75471049913;49.791599999999995;49.575;2.8652646369925425;0.05754514088706816;48.01569057900173;51.56750942099826;460.7;450.0;152.6335808398663;0.3313079679615071;366.0967264752429;555.3032735247571;14.8;14.5;1.7204650534085253;0.11624763874381927;13.733644712115142;15.86635528788486;0.6598675338924769;0.6625466961164537;0.006904472967931493;0.010463422752749876;0.6555880972106185;0.6641469705743352;0.4140359687537097;0.408572440394916;0.021205887061927733;0.05121749959492555;0.40089242378139206;0.4271795137260273;2.41132012012012;2.409562562562563;0.10686804193656932;0.044319309180419264;2.3450826214861378;2.477557618754102;3.4915542548553105;3.3319074041554875;0.47483748272910414;0.13599602013023318;3.197246933941723;3.785861575768898;56.5;53.0;17.425555945220225;0.3084169193844288;45.699528528809495;67.3004714711905;293.7;274.0;125.34915237048872;0.426793164353043;216.0077904446012;371.3922095553988
0.01;0.5;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;28931.6;28921.0;1887.3150346457796;0.06523369031252263;27761.830022334987;30101.36997766501;57.86319999999999;57.842;3.7746300692915598;0.06523369031252264;55.52366004466997;60.20273995533002;678.1;703.0;205.7733947817356;0.3034558247776664;550.5603285624429;805.6396714375571;18.7;19.0;1.7349351572897471;0.09277728113848915;17.624676048811335;19.775323951188664;0.6842997949653312;0.6882932165846711;0.009480630307977498;0.013854498244381055;0.6784236394215937;0.6901759505090688;0.3792588580458368;0.3746144272823778;0.02501134160274817;0.06594794313208982;0.36375666791279954;0.3947610481788741;2.142972772772773;2.1325755755755758;0.13407383960152902;0.06256441579892408;2.05987294604693;2.2260725994986164;3.1485469242793442;3.119384497109303;0.1639662800165757;0.05207681002057962;3.0469195710331474;3.250174277525541;47.7;42.0;11.688028062936878;0.24503203486240832;40.45568515317011;54.9443148468299;502.3;537.5;214.55258096792963;0.427140316480051;369.3189325896352;635.2810674103648
0.01;0.6;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;33909.7;34176.0;2494.4504023932805;0.07356155915249267;32363.623622750285;35455.77637724971;67.8194;68.352;4.988900804786562;0.07356155915249267;64.72724724550058;70.91155275449943;859.8;936.5;165.6760694850044;0.19269140437893045;757.112908262041;962.487091737959;24.3;24.0;1.9000000000000001;0.07818930041152264;23.122367799353295;25.477632200646706;0.7078642753100352;0.7126218094106256;0.01172385563798219;0.01656229314983765;0.7005977543021292;0.7151307963179411;0.3491871290311775;0.3394226619856906;0.022541057594923426;0.06455294517144367;0.3352160367888544;0.36315822127350056;1.9737103103103102;1.9425325325325324;0.0715660458106148;0.03625965038372985;1.9293532155631854;2.018067405057435;3.0861884170063183;3.0748144051963715;0.09159090685945034;0.029677678250213856;3.0294197847936224;3.142957049219014;65.2;57.5;21.301643129110957;0.32671231793114963;51.997104802354905;78.40289519764511;357.4;350.5;165.47700746629422;0.463002259278943;254.836288179493;459.96371182050694
0.01;0.7;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;39971.4;39909.5;3228.675059525192;0.08077463034882922;37970.24646551485;41972.55353448515;79.9428;79.81899999999999;6.457350119050383;0.08077463034882919;75.94049293102971;83.9451070689703;961.6;999.0;68.20733098428643;0.07093108463424129;919.3246582698614;1003.8753417301386;32.0;32.5;3.4641016151377544;0.10825317547305482;29.85292757457975;34.14707242542025;0.7285604574077956;0.732144246002318;0.013699399977466093;0.018803381158247732;0.720069481332531;0.7370514334830602;0.3260458457249199;0.32718174603545624;0.01877950550924634;0.05759774508855523;0.31440618761970374;0.33768550383013607;1.9227563563563561;1.920101101101101;0.011091224068037036;0.005768398076735538;1.915881944457878;1.9296307682548341;2.9735733459661966;2.9331145881528484;0.19723210006011718;0.06632831180292645;2.8513276238441088;3.0958190680882844;66.7;72.0;18.482694608741443;0.27710186819702315;55.244307196856234;78.15569280314378;477.6;315.0;298.3314264371087;0.6246470402787032;292.69226619094593;662.5077338090541
0.01;0.8;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;46980.8;46366.5;3978.141495723851;0.0846758994253791;44515.1223557404;49446.477644259605;93.9616;92.733;7.956282991447702;0.0846758994253791;89.03024471148079;98.89295528851922;996.5;999.0;6.020797289396148;0.0060419440937241825;992.7682711781267;1000.2317288218733;40.3;40.5;2.4103941586387903;0.05981126944513128;38.80602222238749;41.793977777612504;0.7421345792216794;0.7417220959313622;0.013265138424170866;0.017874303119095738;0.7339127612457113;0.7503563971976475;0.3133374159962622;0.3157694794514607;0.012077878024849727;0.03854591698360659;0.3058514696396589;0.32082336235286546;1.9059443443443442;1.9071741741741741;0.007964247238686372;0.00417863578352605;1.901008052764245;1.9108806359244435;2.6674462064248585;2.705626469921059;0.10077974229631627;0.03778135883436989;2.6049822750032696;2.7299101378464474;101.6;98.0;12.411285187280162;0.12215831877244256;93.9074057431839;109.29259425681609;184.9;160.5;51.66517202139174;0.2794222391638277;152.87759461876732;216.9224053812327
0.01;0.9;2;1000.0;1000.0;0.0;0.0;1000.0;1000.0;54730.9;53877.5;4661.081150334116;0.08516361233478922;51841.93197238904;57619.868027610966;109.4618;107.755;9.322162300668229;0.08516361233478921;103.68386394477807;115.23973605522193;999.0;999.0;0.0;0.0;999.0;999.0;50.1;48.5;4.6141087980237305;0.09209798000047366;47.24014573797895;52.959854262021054;0.7470429155067856;0.7437919161347999;0.012382186358299008;0.016574933114651212;0.739368356891027;0.7547174741225442;0.30925770547786824;0.3063288740621156;0.008360255140306435;0.027033296154700757;0.30407596565742245;0.314439445298314;1.8904286286286287;1.8921371371371372;0.009331493794462731;0.004936178839627532;1.8846449088536317;1.8962123484036257;2.564373866425042;2.5702699913058846;0.06960433375231855;0.0271428182386498;2.5212326534085734;2.607515079441511;111.3;110.5;7.785242449660769;0.06994826998796738;106.47465673759886;116.12534326240113;185.3;170.5;35.00871320114466;0.18892991473904294;163.60137475322458;206.99862524677545
