beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;degree_mean_mean;degree_mean_median;degree_mean_std;degree_mean_cv;degree_mean_ci_low;degree_mean_ci_high;degree_max_mean;degree_max_median;degree_max_std;degree_max_cv;degree_max_ci_low;degree_max_ci_high;degree_min_mean;degree_min_median;degree_min_std;degree_min_cv;degree_min_ci_low;degree_min_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;powerlaw_alpha_mean;powerlaw_alpha_median;powerlaw_alpha_std;powerlaw_alpha_cv;powerlaw_alpha_ci_low;powerlaw_alpha_ci_high;powerlaw_k_min_mean;powerlaw_k_min_median;powerlaw_k_min_std;powerlaw_k_min_cv;powerlaw_k_min_ci_low;powerlaw_k_min_ci_high;powerlaw_n_tail_mean;powerlaw_n_tail_median;powerlaw_n_tail_std;powerlaw_n_tail_cv;powerlaw_n_tail_ci_low;powerlaw_n_tail_ci_high;powerlaw_ks_mean;powerlaw_ks_median;powerlaw_ks_std;powerlaw_ks_cv;powerlaw_ks_ci_low;powerlaw_ks_ci_high;powerlaw_valid_mean;powerlaw_valid_median;powerlaw_valid_std;powerlaw_valid_cv;powerlaw_valid_ci_low;powerlaw_valid_ci_high;powerlaw_reason_mode
0.0;0.0;2;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;insufficient_degree_data
0.0;0.2;2;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;insufficient_degree_data
0.0;0.4;2;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;insufficient_degree_data
0.0;0.6;2;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;insufficient_degree_data
0.0;0.8;2;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;insufficient_degree_data
0.0;1.0;2;100.0;100.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;nan;0.0;0.0;insufficient_degree_data
0.2;0.0;2;100.0;100.0;0.0;0.0;100.0;100.0;2589.4;2575.0;155.32237443459329;0.059983924629100675;2493.130194939431;2685.669805060569;51.788;51.5;3.1064474886918667;0.059983924629100696;49.86260389878861;53.71339610121138;73.5;73.5;4.295346318982906;0.058440085972556545;70.8377167693876;76.1622832306124;25.0;25.0;1.5491933384829668;0.06196773353931867;24.039800020828995;25.960199979171005;0.6797160159347688;0.6732973749103524;0.024885767445490568;0.036612006870644066;0.6642916574707608;0.6951403743987769;0.6672899896985618;0.6626430465176707;0.02544262061944486;0.03812828157505881;0.6515204900615639;0.6830594893355597;1.4803838383838384;1.4823232323232323;0.03237009859945493;0.02186601728562097;1.4603206434107716;1.500447033356905;15.813246150085899;16.47853377543384;5.576640640849957;0.3526562849854623;12.356808471085907;19.26968382908589;59.2;61.0;9.421252570651102;0.15914277990964698;53.36064715914512;65.03935284085489;38.4;33.0;20.94850830011531;0.5455340703155029;25.41598003698392;51.38401996301607;0.13924183009325236;0.14250462245676698;0.025112554122608124;0.18035208317636925;0.12367690779048053;0.15480675239602418;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.2;0.2;2;100.0;100.0;0.0;0.0;100.0;100.0;3024.3;3016.0;180.64498332364505;0.05973117194843271;2912.335079343573;3136.2649206564274;60.486000000000004;60.32;3.6128996664729027;0.059731171948432735;58.24670158687146;62.72529841312855;94.5;94.5;3.3241540277189325;0.03517623309755484;92.43966798792039;96.56033201207961;32.3;32.0;2.1931712199461306;0.06790003776923005;30.94065839466306;33.659341605336934;0.7418807606981406;0.7372875601077733;0.024428586129669916;0.032927914327743994;0.7267397661494192;0.757021755246862;0.7217513129334574;0.7191524488142429;0.02610053066503629;0.0361627754564856;0.705574036425503;0.7379285894414118;1.3890303030303028;1.3907070707070708;0.036493936024978794;0.026272958873081294;1.3664111271401156;1.41164947892049;11.937997446204331;12.241073487618035;2.152177821947659;0.18027963497612748;10.604063812181566;13.271931080227096;71.2;70.0;3.627671429443411;0.050950441424767005;68.95154595332704;73.44845404667296;29.1;26.0;7.764663547121665;0.2668269260179266;24.287411673537825;33.91258832646218;0.11235088912493127;0.1142656889666559;0.01933145415154053;0.1720632057485941;0.10036912970694203;0.1243326485429205;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.2;0.4;2;100.0;100.0;0.0;0.0;100.0;100.0;3414.0;3410.0;191.77695377703756;0.05617368300440467;3295.135412573803;3532.864587426197;68.28;68.2;3.835539075540751;0.056173683004404666;65.90270825147607;70.65729174852393;99.0;99.0;0.0;0.0;99.0;99.0;41.2;42.5;3.7094473981982814;0.09003513102423012;38.90086068277714;43.49913931722286;0.7984721675924371;0.7976068611581126;0.02320778452908728;0.029065239179298725;0.7840878337150037;0.8128565014698705;0.772891415884314;0.7715042776370705;0.026751461070693004;0.03461218551649324;0.7563106885310535;0.7894721432375744;1.3103030303030303;1.3111111111111111;0.03874281894485607;0.029567831294640384;1.286289982338142;1.3343160782679186;6.270608456020084;5.919013069483114;1.820308959194553;0.2902922375016047;5.142369274192087;7.398847637848081;62.6;61.5;8.742997197757758;0.13966449197696099;57.18103419460872;68.01896580539129;63.3;61.0;20.119890655766497;0.31784977339283566;50.829562573830856;75.77043742616914;0.11862841892000256;0.1182763580044548;0.015894702206206243;0.13398730549485688;0.10877678042646641;0.1284800574135387;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.2;0.6;2;100.0;100.0;0.0;0.0;100.0;100.0;3693.1;3696.0;188.17090635908622;0.05095202035121882;3576.470463919297;3809.729536080703;73.862;73.92;3.7634181271817235;0.05095202035121881;71.52940927838594;76.19459072161405;99.0;99.0;0.0;0.0;99.0;99.0;48.6;48.5;4.8207883172775805;0.09919317525262511;45.612044444774995;51.58795555522501;0.8340301751395713;0.8347437027803348;0.021462831445138993;0.02573387880306283;0.8207273743885986;0.8473329758905441;0.8105277456069728;0.8106077862443836;0.025955027944639428;0.0320223805851368;0.7944406526194505;0.8266148385944951;1.2539191919191919;1.2533333333333334;0.03801432451698712;0.03031640695984892;1.2303576694786458;1.277480714359738;4.978674627785279;4.909035422264919;0.43937861748132084;0.08825212538076116;4.706344939247576;5.251004316322981;58.6;58.5;4.054626986542659;0.06919158680106927;56.086916157387506;61.1130838426125;87.4;90.5;7.2;0.08237986270022883;82.93739376597038;91.86260623402963;0.1299152528887914;0.12867033005264272;0.023717775731853352;0.18256344197055888;0.11521482318902959;0.14461568258855323;1.0;1.0;0.0;0.0;1.0;1.0;ok
