beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;outdegree_mean_vs_theory_ratio
0.0;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan
0.0;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;nan
0.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;nan;nan
0.25;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;52.6;55.0;8.522910301065007;0.16203251522937276;45.1293397346687;60.070660265331306;0.263;0.275;0.04261455150532504;0.16203251522937276;0.22564669867334347;0.30035330132665655;3.2;3.0;0.39999999999999997;0.12499999999999999;2.849384541128033;3.550615458871967;0.263;0.275;0.04261455150532504;0.16203251522937276;0.22564669867334347;0.30035330132665655;2.6;3.0;0.4898979485566356;0.1884222879063983;2.17058551491595;3.0294144850840503;0.526;0.55;0.08522910301065008;0.16203251522937276;0.45129339734668694;0.6007066026533131;3.4;3.0;0.4898979485566356;0.14408763192842225;2.9705855149159497;3.82941448508405;0.04783333333333333;0.028333333333333332;0.03805551500403355;0.7955856795268338;0.014476203693962714;0.08119046297270395;0.4608020050125313;0.42857142857142855;0.1880594339932922;0.4081133153667116;0.29596064315063;0.6256433668744327;1.3564307478425126;1.3066666666666666;0.19324251785601448;0.14246397625782128;1.1870462126633605;1.5258152830216647;nan;nan
0.25;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;61.8;65.0;9.019977827023745;0.14595433377061076;53.89364083790775;69.70635916209224;0.30900000000000005;0.325;0.045099889135118726;0.14595433377061073;0.2694682041895388;0.3485317958104613;3.6;3.0;0.8;0.22222222222222224;2.898769082256066;4.3012309177439345;0.30900000000000005;0.325;0.045099889135118726;0.14595433377061073;0.2694682041895388;0.3485317958104613;2.6;3.0;0.4898979485566356;0.1884222879063983;2.17058551491595;3.0294144850840503;0.6180000000000001;0.65;0.09019977827023745;0.14595433377061073;0.5389364083790776;0.6970635916209226;3.8;4.0;0.7483314773547882;0.19692933614599692;3.144058539197285;4.455941460802715;0.06353333333333333;0.04416666666666666;0.03524034934875395;0.5546749635165888;0.03264380518902886;0.0944228614776378;0.4549287181139322;0.35294117647058826;0.17123386078280556;0.3763971232520032;0.3048356214319775;0.6050218147958869;1.6245661339705229;1.625;0.40741279691651416;0.250782524882983;1.267453072117535;1.9816791958235107;0.3125;0.9888000000000001
0.25;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;83.6;85.0;11.146299834474219;0.1333289453884476;73.82983742202822;93.37016257797177;0.418;0.425;0.05573149917237109;0.13332894538844758;0.3691491871101411;0.46685081288985886;6.0;5.0;2.0976176963403033;0.34960294939005054;4.1613570221492155;7.8386429778507845;0.418;0.425;0.05573149917237109;0.13332894538844758;0.3691491871101411;0.46685081288985886;2.8;3.0;0.39999999999999997;0.14285714285714285;2.449384541128033;3.150615458871967;0.836;0.85;0.11146299834474219;0.13332894538844758;0.7382983742202822;0.9337016257797177;6.6;5.0;2.0591260281974;0.31198879215112124;4.795096456870894;8.404903543129105;0.10107936507936507;0.09133333333333332;0.03149756746337488;0.3116122409222075;0.07347052990556027;0.12868820025316988;0.3970103180124211;0.3076923076923077;0.14116178324672726;0.3555620013944091;0.27327655949183005;0.5207440765330121;2.0200120580408236;2.094059405940594;0.547996233562183;0.2712836447588711;1.5396721808145377;2.5003519352671097;0.4166666666666667;1.0031999999999999
0.25;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;116.6;128.0;17.01293625450939;0.14590854420677007;101.68750387091416;131.51249612908583;0.583;0.64;0.08506468127254696;0.1459085442067701;0.5084375193545708;0.6575624806454291;14.4;14.0;4.029888335921977;0.2798533566612484;10.867647129744821;17.93235287025518;0.583;0.64;0.08506468127254696;0.1459085442067701;0.5084375193545708;0.6575624806454291;3.0;3.0;0.0;0.0;3.0;3.0;1.166;1.28;0.17012936254509392;0.1459085442067701;1.0168750387091416;1.3151249612908582;14.4;14.0;4.029888335921977;0.2798533566612484;10.867647129744821;17.93235287025518;0.17421424337616287;0.1814712743396954;0.03231551681944644;0.18549296655194186;0.1458884439803254;0.20254004277200033;0.2836784194576786;0.2710843373493976;0.056186887744829196;0.19806542863656784;0.2344284408845761;0.33292839803078106;2.405815996139129;2.435265104808878;0.12246162645155904;0.0509023244704027;2.298473647757827;2.513158344520431;0.625;0.9328
